,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,actual_strike,called_strike
0,3,11/12/2024,11:05:53 AM,1,2,Makayla Coffield,coffima10,,Georgia tech,Brionna Condon,condobr10,Right,Georgia tech,,1,Top,0,0,1,,,BallCalled,,,,,,,56.290605443156096,3.9528662454474186,-1.1373040366485851,924.6052214304608,184.9917806977798,12:15,1.6203577991920068,-0.0486471755736582,5.345398675426667,-34.4383621083734,7.059481103196944,0.624378455934649,1.4073286971995431,-0.8191874995778822,51.382767654943976,-5.3833004860104925,-2.31524641692177,0.4580809995844224,,,,,,,,,,,,-1.0648112726323726,6.744439923107175,-0.2015777695974575,49.999999999999964,0.4773219123812801,1.745780997445385,-84.44030295986904,9.751189542560596,-0.7498375320371337,14.140735722133345,-27.42463124596575,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,1643e658-9601-4a01-ac7f-5d14395e7252,56.395132597592834,1.617552550360883,-0.0510901819906972,4.000207647681339,-1.0943603828423258,51.46064385417063,1.4103809911974976,-0.8172195805163263,-5.317772107117106,-2.273585158568152,0.4579419822843001,0.3196760288751153,5.575980635236159,60.64088748107204,,453.31720821959,805.8525449661795,49.02819037926921,-0.4884223580143089,0.8715639132119992,-0.0426608178347408,,,,,,,,,,,,,,,,,1.0,1.0,,,high,high,,,37.654602700573335,Sara beth Allen,allensa10,Georgia tech,2022-11,True,False
1,4,11/12/2024,11:06:09 AM,1,3,Makayla Coffield,coffima10,,Georgia tech,Brionna Condon,condobr10,Right,Georgia tech,,1,Top,0,1,1,,,StrikeCalled,,,,,,,60.92501636174407,3.1479818442570475,-0.0572574023909957,,,,1.7167749384626678,-0.2671747686938908,5.562153766408815,,,,1.124933181569775,-0.0785580626913969,56.44223346321966,-6.289738395993075,0.2842929921737525,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,53b97026-28c9-4be6-b9e8-0d577a5fb154,61.01153538735095,1.7127438893685585,-0.267174768693891,3.2164104710431896,-0.0572574023909843,56.50181662730567,1.1284505099234636,-0.0785580626913974,-6.2151296629963095,0.2842929921737506,0.4201103501966598,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,high,high,,,37.43784760959119,Sara beth Allen,allensa10,Georgia tech,2022-11,True,True
2,5,11/12/2024,11:06:24 AM,1,4,Makayla Coffield,coffima10,,Georgia tech,Brionna Condon,condobr10,Right,Georgia tech,,1,Top,0,1,2,,,BallCalled,,,,,,,58.610270854849176,8.507672769319425,1.579980017619733,913.0709782353156,225.41887859101652,1:30,1.7407353895201527,-0.2577241660279538,5.314514301297212,-33.66586431480511,3.981805406671434,1.366421587452452,4.682401478042687,0.6804201891968196,53.687109063438086,-0.4781374082080258,1.5842641990501731,0.4445915186980882,,,,,,,,,,,,-1.0167006069808393,1.5067369927984895,0.5852779483439536,50.00000000000001,-0.3963000501297684,-2.2351642447623266,-87.17523706170529,17.15873679757623,-0.7613773047551547,15.32037472365749,-31.04569838538601,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,145a22e0-3d3c-4991-9341-03ab8523c764,58.71977781809706,1.7371532484132306,-0.2601605227805585,8.56738157305563,1.6227012955636098,53.76868135595374,4.68576240704064,0.6822288864214567,-0.405866970502434,1.622427550908732,0.4444667872508353,1.080354983549254,2.500061561325694,74.70102144245895,,240.9191126643884,880.713683582014,26.385584298168222,-0.1852052729515823,0.9645621255908952,-0.1879332667371694,,,,,,,,,,,,,,,,,1.0,1.0,,,high,high,,,37.68548707470279,Sara beth Allen,allensa10,Georgia tech,2022-11,False,False
3,6,11/12/2024,11:06:41 AM,1,5,Makayla Coffield,coffima10,,Georgia tech,Brionna Condon,condobr10,Right,Georgia tech,,1,Top,0,2,2,,,BallCalled,,,,,,,53.52768156656503,3.587722142848154,0.7697902809837626,406.52773132324216,100.43553750596224,9:15,1.6314699076453745,-0.3018911848920069,5.667074035497774,-41.64537975601172,2.231507609171466,-1.8774791667903457,-0.0812433435710791,-0.2771507635077872,50.03198324685944,-9.962658270066427,-0.073710535069364,0.4770618031162895,,,,,,,,,,,,2.7474230032178086,1.3000889727412153,0.4922250979106133,49.99999999999997,0.4482439881339832,-1.332532814512426,-80.39368776637166,9.915116968906142,1.7535424994802769,12.828344267282253,-31.344267909084103,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,9af25ddf-4c91-4864-9a64-2aa9e0cd218b,53.605847510333646,1.6265947336614317,-0.3048557631924318,3.670735389878088,0.8214212981329903,50.07457410119738,-0.0769566197722988,-0.2749823629972708,-9.872388353810033,-0.0272399030248178,0.4769548329933989,-2.209206672884008,0.5009045422317202,71.05487760857858,,131.98426153398773,384.5061131401556,32.46623818364882,-0.0588058268554016,0.945829972997398,0.3192922437322808,,,,,,,,,,,,,,,,,1.0,1.0,,,high,high,,,37.33292734050223,Sara beth Allen,allensa10,Georgia tech,2022-11,False,False
4,8,11/12/2024,11:07:16 AM,2,1,Makayla Coffield,coffima10,,Georgia tech,Jayden Gailey,gaileja10,,Georgia tech,,1,Top,0,0,0,,,BallCalled,,,,,,,61.31960386340699,2.3949351057912547,-3.098939681909788,809.3473556518555,190.23469203459769,12:15,1.6924422064262452,-0.2487287430060727,5.927652782043682,-29.386189918275974,3.240637707886496,0.6799760638100949,0.9514252576686152,-1.2290253577755552,57.06199065110386,-5.635305656188028,-1.7847578632045178,0.4133975567113354,,,,,,,,,,,,-1.9008194903505404,2.6851267949417377,-0.4580713794870233,50.000000000000014,0.8556047726820399,5.084218804239953,-92.11598490373233,8.012865851734032,-1.5931670871502852,16.812543924799453,-29.92351729914008,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,e9e8d7b1-4288-4ef6-b975-8a5a3102192d,61.40753431289737,1.6894119619265748,-0.2507199555128226,2.450307794485306,-3.0618696337704785,57.12931546191664,0.9542808134275812,-1.227473858600718,-5.57303770021862,-1.7511207663918993,0.4132987983409058,0.4313751377020184,2.006998134094292,77.02368982931056,,181.7374554415805,788.6790471353164,22.45481549701333,-0.220975190644731,0.974462993704486,-0.0398978573361501,,,,,,,,,,,,,,,,,1.0,1.0,,,high,high,,,37.07234859395632,Sara beth Allen,allensa10,Georgia tech,2022-11,False,False
5,9,11/12/2024,11:07:33 AM,2,1,Makayla Coffield,coffima10,,Georgia tech,Jayden Gailey,gaileja10,,Georgia tech,,1,Top,0,0,0,,,BallCalled,,,,,,,54.18279416013559,6.574593095684771,0.7710749900482933,307.29304856520434,223.60073065745527,1:30,1.754706215352071,-0.1237790494611948,5.654905025710491,-40.50926024602704,3.900389147652,1.8276808346498223,2.171660787345691,1.0133860660322616,49.38886944779171,-6.576749399474906,3.1892556875170563,0.4737665703722784,,,,,,,,,,,,-1.551447502921531,1.8054386400296487,0.2793110628723523,50.0,-0.0732229476265171,-0.90341671435982,-81.01088719192094,14.00492957950796,-1.0047223948540844,13.09771383052377,-31.004841713508785,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,cc8307f6-1872-4ffd-92e7-c25294464222,54.2766943650476,1.7503562981988705,-0.1250205312454753,6.649636070239813,0.7931753712099917,49.4471229371935,2.175788470450949,1.0142928031210157,-6.488191634865673,3.2086197838317085,0.4736427801461796,1.681729245158036,2.154739223355133,66.32047506969329,,123.415194792655,281.4208723438758,40.162052271894325,-0.2908387495381498,0.915806178037123,-0.2769690705405975,,,,,,,,,,,,,,,,,1.0,1.0,,,high,high,,,37.34509635028951,Sara beth Allen,allensa10,Georgia tech,2022-11,False,False
6,11,11/12/2024,11:08:09 AM,2,3,Makayla Coffield,coffima10,,Georgia tech,Jayden Gailey,gaileja10,,Georgia tech,,1,Top,0,2,1,,,StrikeCalled,,,,,,,56.42117154610331,4.027523516028089,0.8107701203524053,747.757967631022,155.21806036073022,11:15,1.621743279453968,-0.0328923583651181,5.431856469672167,-36.78891464441536,4.537590478518936,-1.1572201259886432,1.339664351184184,0.3894358692144877,51.39386877612115,-6.116083765577176,-0.3270856423142535,0.4558957973692401,,,,,,,,,,,,1.6592946547202132,3.7739445695582834,0.219582978629,50.0,0.4311594037037237,-1.3426822398144296,-84.65272916582029,10.199621517767442,1.174300003332174,14.217120204435442,-29.5031899481408,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,25ec4eed-b226-4c55-8d01-c12630863364,56.515261861358496,1.6183167363067068,-0.035915490948766,4.087041057171607,0.8648244020266942,51.45961681208252,1.3431605597361125,0.3918882514482881,-6.040861903883735,-0.2746427403977869,0.4557755208279337,-1.5380440306080727,2.985930505870635,72.59312589933563,,223.6957329018645,713.5139783053827,29.91552649188837,-0.2716059518923505,0.9542044474174872,0.1253956914145683,,,,,,,,,,,,,,,,,1.0,1.0,,,high,high,,,37.56814490632784,Sara beth Allen,allensa10,Georgia tech,2022-11,True,True
7,13,11/12/2024,11:08:44 AM,3,1,Makayla Coffield,coffima10,,Georgia tech,Paige Vukadinovich,vukadpa10,,Georgia tech,,1,Top,0,0,0,,,BallCalled,,,,,,,60.381551778225166,3.986760094564756,-2.633812250597111,702.0884068806967,101.65182556953094,9:30,1.614398341473463,-0.3142576181772413,5.378327325360697,-31.9922256671626,2.2756588164084235,-6.176395762157619,1.7571248204960523,-2.016499279437372,56.44509002653431,-4.463952088282219,-3.942982307118116,0.4274715839178672,,,,,,,,,,,,6.055808003936223,1.0991937721111276,-0.2009613606957881,49.99999999999999,0.4620352023172386,3.3827644831960484,-90.55569535851944,10.488951331966572,4.889163873364116,16.638724517006146,-31.286614172436785,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,53abdd92-9f74-4860-9ad9-61f31ac511df,60.46811744010828,1.610980189015505,-0.3180830700828279,4.045516420871465,-2.566632891550365,56.50806045366545,1.760146002818977,-2.013568790228605,-4.399166275535734,-3.8805031019349423,0.4273703641130689,-6.620893485238357,0.911242083956165,50.23284564521133,,449.1043004260024,539.6605029230375,63.96691585057279,-0.1291900721134955,0.768650354619429,0.626487476020659,,,,,,,,,,,,,,,,,1.0,1.0,,,high,high,,,37.62167405063931,Sara beth Allen,allensa10,Georgia tech,2022-11,False,False
8,17,11/12/2024,11:10:48 AM,5,1,Jaidyn Studebaker,studeja10,,Georgia tech,Brionna Condon,condobr10,Right,Georgia tech,,1,Top,0,0,0,,,BallCalled,,,,,,,63.692691845690725,3.4494079694363013,-1.1270892182041103,,,,1.6140420435155094,0.3079132827075284,3.25439178306198,,,,0.8629666182865504,-1.0884991364087078,60.08403721863351,-6.264547961596374,-2.7785160709824845,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,753e81fc-0678-4f0a-ad12-99c25d096281,63.79894617321312,1.6091559885754747,0.3079132827075282,3.5224147748723404,-1.127089218204102,60.15721013240118,0.8666234241630885,-1.0884991364087062,-6.190081025486467,-2.7785160709824703,0.4288525975599239,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,high,high,,,39.74560959293802,Sara beth Allen,allensa10,Georgia tech,2022-11,False,False
9,19,11/12/2024,11:11:15 AM,5,3,Jaidyn Studebaker,studeja10,,Georgia tech,Brionna Condon,condobr10,Right,Georgia tech,,1,Top,0,1,1,,,BallCalled,,,,,,,64.38585156055353,7.270517564990027,0.2467893265723348,547.0194458007813,0.5037592717243087,6:00,1.5900588730312248,0.1191718644854505,3.681771477070026,-40.11823429891131,-5.781545924868091,0.1440977245398287,3.240862302398651,-0.7285146072429385,60.55221300320214,-3.5482821411014003,-0.7563572656468494,0.4217457607915674,,,,,,,,,,,,-0.0632978489057623,-8.524419489069984,-0.0740212555677664,49.99999999999998,-0.0119206590439303,-0.3970107814915737,-95.70753684811142,16.451087944769593,-0.0573171873774425,18.0401991689521,-39.89304411085924,Georgia Tech,Georgia Tech,,,,87dce14d-fad0-473b-aa9d-ec9f848e47b7,3d950628-a1af-4e6a-9c42-d97cf023d302,64.46412159610436,1.582696767934201,0.1210083816549263,7.383119196799175,0.2179609561830173,60.59740167138976,3.246028063235228,-0.7296996631038114,-3.442209817584616,-0.7806036333524684,0.4216782477943118,0.3339574487464845,-7.42503336475392,-37.75516368316246,,432.4923868853888,-334.93373877585566,79.06343918949051,0.7906038325705179,-0.6122885417456164,0.0069513719390565,,,,,,,,,,,,,,,,,1.0,1.0,,,high,high,,,39.31822989892998,Sara beth Allen,allensa10,Georgia tech,2022-11,False,False
